column,percent_missing
num_in_3,92.02673669133445
numdat_3,82.14370971592265
expnum,78.5151587491048
sinc7_2,76.66507519694437
amb7_2,76.66507519694437
shar7_2,76.43829076151826
fun7_2,76.31893053234663
intel7_2,76.31893053234663
attr7_2,76.31893053234663
intel7_3,75.93697779899738
fun7_3,75.93697779899738
shar2_3,75.93697779899738
intel5_3,75.93697779899738
amb7_3,75.93697779899738
shar7_3,75.93697779899738
sinc5_3,75.93697779899738
attr5_3,75.93697779899738
fun5_3,75.93697779899738
amb5_3,75.93697779899738
attr7_3,75.93697779899738
sinc7_3,75.93697779899738
fun4_3,64.68130818811171
intel4_3,64.68130818811171
attr4_3,64.68130818811171
sinc4_3,64.68130818811171
fun2_3,64.68130818811171
sinc2_3,64.68130818811171
shar4_3,64.68130818811171
amb4_3,64.68130818811171
amb2_3,64.68130818811171
attr2_3,64.68130818811171
intel2_3,64.68130818811171
mn_sat,62.60444020052518
tuition,57.233229887801386
intel1_3,52.56624492719026
shar1_3,52.56624492719026
amb1_3,52.56624492719026
fun1_3,52.56624492719026
sinc1_3,52.56624492719026
you_call,52.56624492719026
attr1_3,52.56624492719026
them_cal,52.56624492719026
date_3,52.56624492719026
sinc3_3,52.56624492719026
amb3_3,52.56624492719026
intel3_3,52.56624492719026
attr3_3,52.56624492719026
fun3_3,52.56624492719026
attr3_s,52.255908331343996
fun3_s,52.255908331343996
sinc3_s,52.255908331343996
intel3_s,52.255908331343996
amb3_s,52.255908331343996
fun1_s,51.110050131296255
intel1_s,51.110050131296255
shar1_s,51.110050131296255
amb1_s,51.110050131296255
attr1_s,51.110050131296255
sinc1_s,51.110050131296255
